imdbId,Imdb Link,Title,IMDB Score,Genre,Poster
40497,http://www.imdb.com/title/tt40497,Jour de fíÈte (1949),7.4,Comedy,"https://images-na.ssl-images-amazon.com/images/M/MV5BM2E0NzAxODMtMjJlNC00Y2Q4LThjYTUtZjUwMTU3ZWU0OGM4XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UY268_CR4,0,182,268_AL_.jpg"
64683,http://www.imdb.com/title/tt64683,Mondo Trasho (1969),6.4,Comedy,"https://images-na.ssl-images-amazon.com/images/M/MV5BM2ExNzk3NzYtNDNkMC00N2NmLTllY2MtNWRjNDRlNDM5YmY0L2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UY268_CR6,0,182,268_AL_.jpg"
47338,http://www.imdb.com/title/tt47338,Pekka ja PÌ_tkÌ_ lumimiehen jÌ_ljillÌ_ (1954),5.6,Comedy,"https://images-na.ssl-images-amazon.com/images/M/MV5BM2FlMDQxOTgtNjFiYy00NTdiLThhNDctNTc1ZDUwZDM0MzJlXkEyXkFqcGdeQXVyMTIxMzMzMzE@._V1_UX182_CR0,0,182,268_AL_.jpg"
72837,http://www.imdb.com/title/tt72837,Cuore di cane (1976),6.6,Comedy,"https://images-na.ssl-images-amazon.com/images/M/MV5BM2I0MzNkNmEtZDIxZi00ZjVhLThmMTAtOWRmZWFiMDNjMTg2XkEyXkFqcGdeQXVyMjU4OTI3OA@@._V1_UY268_CR2,0,182,268_AL_.jpg"
93748,http://www.imdb.com/title/tt93748,"Planes, Trains & Automobiles (1987)",7.6,Comedy,"https://images-na.ssl-images-amazon.com/images/M/MV5BM2I1ZWNkYjEtYWY3ZS00MmMwLWI5OTEtNWNkZjNiYjIwNzY0XkEyXkFqcGdeQXVyNTI4MjkwNjA@._V1_UX182_CR0,0,182,268_AL_.jpg"
194119,http://www.imdb.com/title/tt194119,Los Enchiladas! (1999),6.8,Comedy,"https://images-na.ssl-images-amazon.com/images/M/MV5BM2I4NDUyYjQtOGU0ZC00YzJmLThlNTAtNDcxMjk3M2E5NmViXkEyXkFqcGdeQXVyMzU0NzkwMDg@._V1_UY268_CR11,0,182,268_AL_.jpg"
77295,http://www.imdb.com/title/tt77295,The Escape (1978),6.3,Comedy,"https://images-na.ssl-images-amazon.com/images/M/MV5BM2IwYjllYTEtN2UzMC00ZGRhLTg5ZmItNzQ4NDY1NWNmNmU3XkEyXkFqcGdeQXVyMjQ0MzY3ODc@._V1_UY268_CR12,0,182,268_AL_.jpg"
77975,http://www.imdb.com/title/tt77975,Animal House (1978),7.6,Comedy,"https://images-na.ssl-images-amazon.com/images/M/MV5BM2M2ZDA4MTYtOGRjMi00OTg5LWI1ZTUtMjQxZTc2NWZjNDFkXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_UX182_CR0,0,182,268_AL_.jpg"
40342,http://www.imdb.com/title/tt40342,Family Honeymoon (1948),6.4,Comedy,"https://images-na.ssl-images-amazon.com/images/M/MV5BM2MxM2NlODQtZmNiNy00NGRiLTg0Y2UtZmMyNDhhYjE5NWMxXkEyXkFqcGdeQXVyNDY3MzU2MDM@._V1_UX182_CR0,0,182,268_AL_.jpg"
88850,http://www.imdb.com/title/tt88850,Brewster's Millions (1985),6.5,Comedy,"https://images-na.ssl-images-amazon.com/images/M/MV5BM2MyMGJmZGEtOGQzNC00ZGMyLWEwNDYtMGExZjBlYjZlZGNkXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_UX182_CR0,0,182,268_AL_.jpg"
79463,http://www.imdb.com/title/tt79463,Tigers in Lipstick (1979),4.7,Comedy,"https://images-na.ssl-images-amazon.com/images/M/MV5BM2MyYjg0NGMtMWQyYy00MGE4LWExZTktMmIyZGFjNDY0ODgwXkEyXkFqcGdeQXVyMTYxNjkxOQ@@._V1_UY268_CR4,0,182,268_AL_.jpg"
99545,http://www.imdb.com/title/tt99545,Fantozzi alla riscossa (1990),5.8,Comedy,"https://images-na.ssl-images-amazon.com/images/M/MV5BM2NiZmI0ODgtYjg5Ny00NTliLWEwZWEtNjkyM2NmYzRlYjA1XkEyXkFqcGdeQXVyNjExODE1MDc@._V1_UY268_CR4,0,182,268_AL_.jpg"
351459,http://www.imdb.com/title/tt351459,Os Normais: O Filme (2003),6.7,Comedy,"https://images-na.ssl-images-amazon.com/images/M/MV5BM2Q2MDhmOWQtMGU5ZC00NDM2LTg4ZmItNWNiZjBjOWY2NjkzXkEyXkFqcGdeQXVyMTY2MzYyNzA@._V1_UX182_CR0,0,182,268_AL_.jpg"
71196,http://www.imdb.com/title/tt71196,Barry McKenzie Holds His Own (1974),5.9,Comedy,"https://images-na.ssl-images-amazon.com/images/M/MV5BM2RiM2M0NWItODViMi00OGU3LTgxYzEtOTc2N2NjZmNhZTQ5L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQ2ODE0NDA@._V1_UY268_CR219,0,182,268_AL_.jpg"
112955,http://www.imdb.com/title/tt112955,En pÌ´ miljonen (1995),5.2,Comedy,"https://images-na.ssl-images-amazon.com/images/M/MV5BM2U5NjlhZGUtYzRjYS00OGQ0LWI2NDQtYTRkMjg3M2M3NjYwXkEyXkFqcGdeQXVyMTQzMjU1NjE@._V1_UY268_CR6,0,182,268_AL_.jpg"
258760,http://www.imdb.com/title/tt258760,Lammbock (2001),7.4,Comedy,"https://images-na.ssl-images-amazon.com/images/M/MV5BM2VhZjMwNDMtZmQ5Zi00YWVjLWJhZGItYzUwYThjYzk3OTM2L2ltYWdlXkEyXkFqcGdeQXVyMzA3Njg4MzY@._V1_UY268_CR4,0,182,268_AL_.jpg"
302297,http://www.imdb.com/title/tt302297,Barely Legal (2003),4.8,Comedy,"https://images-na.ssl-images-amazon.com/images/M/MV5BM2VlM2I4MWItNDMzYi00NTY2LTk4ZGItZWExYThhMTI1YjQ2XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg"
